category	pca1_cossim	pca2_cossim	pca3_cossim	pca4_cossim	pca5_cossim	pca6_cossim	pca7_cossim	pca8_cossim	pca9_cossim	pca10_cossim	pca11_cossim	pca12_cossim	pca13_cossim	pca14_cossim	pca15_cossim	pca16_cossim	pca17_cossim	pca18_cossim	pca19_cossim	pca20_cossim	pca21_cossim	pca22_cossim	pca23_cossim	pca24_cossim	pca25_cossim	pca26_cossim	pca27_cossim	pca28_cossim	pca29_cossim	pca30_cossim	pca31_cossim	pca32_cossim	pca33_cossim	pca34_cossim	pca35_cossim	pca36_cossim	pca37_cossim	pca38_cossim	pca39_cossim	pca40_cossim	pca41_cossim	pca42_cossim	pca43_cossim	pca44_cossim	pca45_cossim	pca46_cossim	pca47_cossim	pca48_cossim	pca49_cossim	pca50_cossim
animal behavior and cognition	0.5707307468835026	-0.13413815764848502	-0.04712219308248211	-0.11717519353984351	0.14413474169638396	-0.1955212556365704	0.20348820824461422	0.001324742735424267	0.08864452356567942	-0.05253247285574747	-0.026606275951913005	-0.10864751403994655	0.14133590880363056	0.03496513557437708	-0.005772350718243668	0.013163607073674699	0.053652152550407006	0.028523039785008142	-0.034538370333618174	0.13759049327927475	0.04872394519903511	0.1760834503104305	-0.15417315237314777	-0.01981109307403006	0.06796016200826682	-0.053219190519929516	0.050730524012396305	-0.05148569531553804	0.07212895091379323	0.07090948259286545	0.002807696647169511	0.002517759537030484	0.1084529329329823	-0.09180194141778131	-0.13830931132421997	0.060469098046540215	0.04557048458686486	-0.11258130828314328	0.1627335960207814	0.08996652714703202	0.11090806073928461	-0.06346752779687259	0.14163973347520842	-0.036174690158769396	0.014203278408075004	-0.14215012107846237	-0.06948441052864296	-0.011198264093780441	-0.15414613296742763	0.0461250828300519
biochemistry	0.12677760551951045	0.051383465641731685	-0.31587170398103304	-0.1027696003135361	0.21452046099110345	-0.21828339562958932	0.26251698225341014	-0.1271883843018542	-0.015786338687488133	0.010891472304381922	-0.04368918424273982	-0.11889564567437216	0.08224085234245704	0.04071736628026734	0.024461297615391953	-0.009453295171489406	0.0487819790300521	0.01727371676834022	-0.04713943538027876	0.1457757613126931	0.06844702548498816	0.17760733464052603	-0.16864203225910535	-0.013630199702151513	0.08225408554731273	-0.06483442406031648	0.08608720714006557	-0.03810283251895763	0.09922096201975583	0.06523541838235913	0.027194902827791467	-0.0023965749055161467	0.12303048341431011	-0.10559521300536923	-0.1579203907266702	0.07689170084230046	0.060211741601973734	-0.14364055167256673	0.1744286056744735	0.10445445016922261	0.12501354273684684	-0.08937536950113856	0.17161078412984965	-0.037690622415306185	0.0182857142256605	-0.1823867313941292	-0.07154561496443845	-0.018324544078057947	-0.18688924224907444	0.053927447202497425
bioengineering	0.3418958575424982	-0.08250835384199084	-0.25477612577752273	-0.06884794987393361	0.1016291719744501	-0.18430224579325305	0.35986774141096944	0.047100647379095695	0.03983396964563435	0.002820489273554716	-0.05736537399232855	-0.07694721971811802	0.08113133552955465	0.02468154539887457	0.04378186912033066	-0.028018730773628375	0.05477858825735604	0.042163486374414694	-0.06521283136916578	0.16116007133372556	0.039726075228822766	0.16069851543044444	-0.17477974421407683	-0.02763690876948388	0.061798256007343455	-0.042453511645794695	0.07556056497726316	-0.030283751988317675	0.09442216234304235	0.08730102071561485	0.022609469754160894	-0.016537808761380335	0.1234262525968508	-0.08910936887942844	-0.1606828811111254	0.06309676986993107	0.06211080582542461	-0.11832915521144138	0.17624537963816844	0.08679099952721003	0.1215608467808742	-0.09046581019927213	0.164317706397631	-0.041459640540885356	0.022427936034565277	-0.16736065614400375	-0.07516124353677234	-0.014209044190602649	-0.17746153366021677	0.052863866334028065
bioinformatics	0.5512894609858401	0.22242016069242998	-0.23913384060202403	-0.17262913990202167	0.06806405702129414	-0.1750177251806102	0.266699873211933	0.014189240949689097	0.015258835229861045	-0.047758947442722244	-0.026890500739455092	-0.10578331858309475	0.0811243896245476	0.04139354115213856	0.03729726664614219	-0.011579083586983119	0.0492280451092868	0.035733326779301744	-0.02015495354019281	0.13644063557254116	0.05619758880453407	0.14408904780263854	-0.14822920983114796	-0.013652380012747933	0.051849754906068246	-0.042180019389652434	0.06439737032887505	-0.033082152424360745	0.08309502499462862	0.056547663097991974	0.014849628593570419	-0.005749070295930636	0.10120755827429784	-0.08048957985716876	-0.1252913454530955	0.05313961809876577	0.052985848073500486	-0.10749469562797231	0.1418552029973632	0.08531675710228437	0.09543554399836329	-0.07180248902165576	0.13406629007410054	-0.03289589053241215	0.014370263117990167	-0.14180544599761857	-0.06661500161916489	-0.012146373418140177	-0.15202393402414383	0.04463189108300902
biophysics	0.3389974717621097	-0.08293376630389449	-0.35110335709208895	-0.10133326282522437	0.25127077301857215	-0.225577580583187	0.2810770134780076	-0.008876281845467071	-0.027261331372201214	0.041932114158029776	-0.03374079214337189	-0.09361237819335444	0.08347610774054248	0.05425915883620014	0.03682829901230211	-0.019930974843707316	0.04495302671115231	0.03469953283753047	-0.04708798638042988	0.1652005390157607	0.042383472911452946	0.17203013333966766	-0.15263772407443832	-0.014645422808035935	0.06831827653114697	-0.06061234876716037	0.0691246774403177	-0.03785487522446118	0.08930313268681	0.07884434779843319	0.023280125306107013	0.0033802815531372987	0.10922912755742142	-0.08362200756684235	-0.13075513237824832	0.06364126730838737	0.04674632642656096	-0.11311493736947598	0.16557926880275375	0.08794617075762856	0.10481504105910378	-0.07347037975578519	0.14335864403976395	-0.03990372959342192	0.017568248129779085	-0.1602499759626459	-0.06550634609805495	-0.01030906199839876	-0.16602314688711584	0.04948215468114736
cancer biology	0.16808626730052745	0.12349421990419163	-0.08351622688997185	-0.30907837112847036	0.09279070006544066	-0.26382741046241254	0.4107560675380637	0.03829801572500546	0.03193702154647171	-0.01732209199730317	-0.003864405565550344	-0.13811516223933573	0.06440909468855471	0.06468348631447718	0.01827387208750253	-0.048186568149911846	0.042796446516548015	0.07929750823771697	-0.05593437484877284	0.10471285022673293	0.05249297775622341	0.15042419080859393	-0.17040321971849437	-0.018595355918366696	0.05731557694303113	-0.05548447906885201	0.08875500619859344	-0.07224504212008331	0.075032559272736	0.07742584720087886	0.02409312754400228	0.004524140286715439	0.09807379182624365	-0.10097877521020848	-0.14481758245830045	0.06988171070647375	0.062291009909629436	-0.1307414835156766	0.17365407247123765	0.09017628444820569	0.12226680434272785	-0.07697566790470556	0.14938593850767967	-0.033567479774128106	0.007051967148260063	-0.16115094733138746	-0.08068035671442719	-0.02417657566262621	-0.17159170376855548	0.05500771813758287
cell biology	0.04381027418053107	-0.030398745055555842	-0.23320546299125056	-0.22410213132477552	0.1768017065983758	-0.2538119379915924	0.3033348193781289	0.06787080027624393	0.017679121466763426	-0.01956205710221459	0.0010603699009900103	-0.09345436838553911	0.09327711822010532	0.05831827526741862	0.012543161621520027	-0.04506909281666527	0.04382442194301772	0.0158717868229884	-0.003868395718913842	0.17272076498532307	0.0926028512366307	0.18402735285964233	-0.16915492687420497	-0.029799164961957114	0.05098350349641467	-0.050441045569131315	0.08361140475618756	-0.04657944128142444	0.08563530923220508	0.07576543829901727	0.012985012377241256	-0.01056093730873342	0.12568053887067632	-0.09964472790868695	-0.16986752884093836	0.07522812043918625	0.0655401689509012	-0.13074980445736695	0.18908915267435977	0.10621379425122757	0.1187193671973038	-0.08874570983627406	0.1691493030365887	-0.04194141043016186	0.023377911594926193	-0.18606005314365048	-0.07977744722902891	-0.013866977754661391	-0.18927230116817872	0.05491042645046873
clinical trials	0.4972083394479778	-0.06650290800852776	0.09492036210946175	-0.12576441735453514	-0.027923278339671675	-0.19688181397619964	0.3194959600911469	-0.09023279209197899	0.04625131497525736	0.032728512387413033	-0.01717019126645547	-0.12417375538472264	0.11266092959122687	0.07955464836102577	0.04843050040380825	-0.039969648867368424	0.0595520259871446	0.04435739330276334	-0.03622080805336503	0.15913980906968617	0.06083103567088011	0.15110194466503912	-0.15769408083399528	0.005335553252735048	0.044057164969945384	-0.04677608852832815	0.07648362312114321	-0.026618484305394263	0.08281698419196704	0.08361142526761833	0.034817657679990566	-0.012831210206393884	0.1030544444513829	-0.09766191453865258	-0.15035506112813124	0.05134769319420307	0.035378191571055595	-0.11271918337357034	0.16611638352012192	0.08842332865979197	0.10382976932772126	-0.09603466333194266	0.1575934468571194	-0.030730060952027793	0.0231390600134862	-0.18099455413857313	-0.05670660750861978	-0.027797176158122383	-0.15521179084878045	0.04647384682321021
developmental biology	0.11259459160603602	0.007299509031794993	-0.14515381109053993	-0.3049375823767879	0.16725291745219195	-0.26252115500181494	0.24053716819658533	0.15772393357644887	0.041127147722998414	-0.04637141074653983	-0.0012436280562797553	-0.0882796987521135	0.13999319909160168	0.05212638505402256	0.034365321772374946	-0.01540187967330331	0.071364246238097	0.01844996801401677	-0.05762096294267227	0.16032151319999088	0.07529483118598079	0.15612348141402843	-0.17069994441896563	-0.01666838090472278	0.08958868246032481	-0.04550789859651383	0.06745745409532844	-0.014803821057157718	0.09632952376887982	0.0654021454043513	0.04297990476896163	-0.026821067944277077	0.12562474256045697	-0.10651350412991945	-0.1453019789297385	0.058930656452803154	0.0789072655895322	-0.1355063126407321	0.1805175633790178	0.11891438796329434	0.10052427034412204	-0.08579522715526378	0.17325832814799302	-0.04198501125154763	0.016142238115579466	-0.1891058490565709	-0.08556381205607089	-0.014594460063520831	-0.1831872435019617	0.06848457699448718
ecology	0.5505087546609211	0.04241991826508795	0.011568379025362452	-0.004265439247548741	0.2790563734806354	-0.19842923764102216	0.22952221392650485	0.06393110766605004	-0.003926029880458648	-0.05903957141908034	-0.05883993645725982	-0.10948951518535055	0.05963910954513729	0.07851214266879358	0.006249632999978827	0.015687083562721527	0.022318440997267985	0.03548413811810158	-0.03155221240937145	0.1360831414793512	0.05835262411665776	0.13716206899567196	-0.17267895475541817	-0.02223287720214473	0.048472010906383645	-0.03355045887886021	0.0775110689532914	-0.043840313541907205	0.0731191686157141	0.05516979824115076	0.021926279085366707	-0.007495461540956594	0.11136109082620815	-0.08958276965181877	-0.14299383571815416	0.06523806961883472	0.05721901988490474	-0.12599653032822022	0.15996796717933393	0.08983261304793422	0.09434990090565654	-0.07484764875844219	0.1414139056982633	-0.03843648453913162	0.023870742241808518	-0.15832670816749483	-0.07134404972422037	-0.013855120092177042	-0.15654819837622913	0.050469972340991376
epidemiology	0.5584728338262995	0.06310739412718847	0.11137152424719943	-0.07107332117299214	0.11551770743146328	-0.19049818290031295	0.31195773870040244	-0.021055514142463316	0.03209350489861795	0.06229968188170809	0.017250262709981423	-0.13462972873591283	0.0743566462121974	0.08220853034090614	0.043143505563233875	-0.004230767271965474	0.026791606617180497	0.021515507623208308	-0.04010399157245148	0.19015982690089261	0.0951628812493408	0.1358988768427014	-0.14960106471495482	-0.018818222136426366	0.06978346821372527	-0.03032800310544226	0.06252219699691897	-0.008110786438985995	0.07368067207708595	0.06029427866735637	0.02323674346240323	-0.001762607576059283	0.089682138955409	-0.0846428440531779	-0.13410733745803372	0.05950389978652648	0.052750675225488264	-0.10936942610572498	0.1540511075476827	0.09083252265559305	0.10976620067417353	-0.07965817408293163	0.13196805361705977	-0.03214897383730975	0.014576131240206402	-0.15944220288593014	-0.07082620265488826	-0.005797197144462807	-0.15974612459375526	0.04898697688585896
evolutionary biology	0.5080318254014636	0.16636662311591932	-0.05485871891276517	-0.11125457161149033	0.27281467056382636	-0.2847573972722772	0.2054217992213282	0.054032811426195315	0.05198071764048351	-0.034808952024864004	-0.007805821691278414	-0.10774460644854011	0.07615207035724247	0.008262228442578401	0.030860316538614874	-0.016659807824208173	0.046335502670633466	0.013049479181321377	-0.033991141558156635	0.1274816268946376	0.0440272004328488	0.1442977158471046	-0.13368611311982237	-0.028706576471466683	0.055605053893605705	-0.05550130428069	0.07852348649163421	-0.037663514064633974	0.08357717612567395	0.07819395430847065	0.015784914179368892	-0.002819804742951293	0.11026306074566727	-0.09119947327234823	-0.12913956140008032	0.050724475996471785	0.05577492084946589	-0.11318619295827781	0.14920189262611472	0.081193738275816	0.10889867730772274	-0.07752748186881586	0.14801812167719253	-0.030536320734717348	0.018795168840929244	-0.15559327437365744	-0.06219700869240885	-0.014367622762927468	-0.16111521890092706	0.044954517915262504
genetics	0.4565086880141167	0.21275462190838013	-0.05240887391486626	-0.19830570016025306	0.12162550140815076	-0.31166313067172613	0.23867375623353282	-0.002072491286206457	0.02867436196872486	0.001997930142840443	-0.010450001281262944	-0.05249210071585697	0.08816607978593727	-0.005536010495762023	0.03241510170172579	-0.022124192892128747	0.027471371432012615	0.027641551259450448	-0.036580577672520764	0.15628021628567557	0.06786421178036528	0.1640158777924252	-0.15364907958292973	-0.018644927013653723	0.06312463996962325	-0.04034590763893142	0.07329698245631144	-0.029964730136465167	0.08539182670140144	0.05502328664512701	0.023231981386090395	-0.006580811268640296	0.11095343110741007	-0.08436268572057104	-0.1475794428120567	0.06938875224641805	0.05256368453938587	-0.12256570863340821	0.16355700190271683	0.08901819687632584	0.10419540966001939	-0.07949231555129765	0.1483981191030993	-0.039072400203364	0.012455238310495775	-0.15741783447272106	-0.06715488934788261	-0.012285884752048615	-0.16209960970319126	0.05093253090207517
genomics	0.42465660794084115	0.29556475229222434	-0.15316645161656095	-0.18758103288591754	0.0949021234744748	-0.28288339321070355	0.21818673225320717	0.024893616869961832	0.05505680764688814	-0.0204433124431449	-0.04932692808870831	-0.08989833201331021	0.07359794409667253	0.04669607785232022	0.042230705772733135	-0.024183443101567725	0.0340057801648489	0.023408528267696016	-0.04262895657706833	0.15161420469736364	0.052137475231207264	0.16565697362312037	-0.15899868817360563	-0.018252875542614122	0.05788752773996264	-0.04102604993163572	0.06568333387629921	-0.03176706592802403	0.08325508660596426	0.06836851499942265	0.018286006739126948	0.0034526584271786787	0.11026986897178137	-0.0820156188257366	-0.1375774160936667	0.06720878998170765	0.05352817620548478	-0.12104600773160801	0.16008327351960272	0.09075518330857146	0.10626317292277232	-0.07465092366800574	0.14521821953992953	-0.03547875952932422	0.017688466301544192	-0.1605235998895851	-0.06749528963752649	-0.01485167028134593	-0.1652787361448509	0.047116906460431984
