"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"AACE Corp (American Association of Clinical Endocrinologists) (ID 2653)","test","closed","3388","773","true","true"
"AACE Corp (American Association of Clinical Endocrinologists) (ID 2653)","American Association of Clinical Endocrinologists10.4158","limited","3388","773","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.26434","open","1495588","169659","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.1021","closed","1495588","169659","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society (ACS)10.29200","open","1495588","169659","true","true"
"Elsevier BV (ID 78)","American Association for Thoracic Surgery10.25013","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","American College of Chest Physicians10.1378","limited","15705088","2032741","true","true"
"Elsevier BV (ID 78)","American Dental Association10.14219","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","American Pharmacists Association10.1331","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Canadian Opthalmological Society10.3129","limited","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier 10.1016","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier (Society for Range Management)10.2111","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Academic Press10.1006","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Ambulatory Pediatric Associates10.1367","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - American Society for Experimental Neurotherapeutics10.1602","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - American Society for Investigative Pathology10.2353","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Biophysical Society10.1529","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Central Mining Institute10.7424","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - CIG Media Group LP10.3816","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Colegio Nacional de Opticos-Optometristas de Espana10.3921","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Ediciones Doyma10.1157","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Institution of Chemical Engineers10.1205","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - International Federation of Automatic Control (IFAC)10.3182","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Mayo Clinic Proceedings10.4065","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Medicine Publishing Company10.1383","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Mosby10.1067","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Urban & Fischer Verlag10.1078","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - WB Saunders10.1053","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier - Wilderness Medical Society10.1580","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier- Churchill Livingstone10.1054","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier- Hanley and Belfus Inc.10.1197","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Elsevier- Spektrum Akademischer Verlag10.1240","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Social Science Electronic Publishing10.2139","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Sociedad Argentina de Radiologia10.7811","closed","15705088","2032741","true","true"
"Elsevier BV (ID 78)","Woodhead Publishing10.1533","closed","15705088","2032741","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers10.1109","closed","3229421","610715","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers10.23919","limited","3229421","610715","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE) preprint10.36227","open","3229421","610715","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers - Bell Labs10.15325","limited","3229421","610715","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Journal of Systems Engineering and Electronics10.21629","limited","3229421","610715","true","true"
"Komarov Botanical Institute of the Russian Academy of Sciences (ID 16245)","Komarov Botanical Institute of the Russian Academy of Sciences10.31111","closed","794","182","true","true"
"STIA Lan Bandung (ID 16055)","STIA Lan Bandung10.31113","closed","22","42","false","true"
"Test accounts (ID 7822)","10.50505","closed","151461","66","true","true"
"Test accounts (ID 7822)","10.88888","closed","151461","66","true","true"
"Test accounts (ID 7822)","10.5555","closed","151461","66","true","true"
"University of Chicago Press (ID 200)","The MRE Foundation10.5950","closed","443322","13741","true","true"
"University of Chicago Press (ID 200)","The University of Chicago Press10.1086","closed","443322","13741","true","true"
"University of Chicago Press (ID 200)","University of Chicago Press10.7208","closed","443322","13741","true","true"